,Year,Maker,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Jan,Feb,Mar,Total,MarketShare
0,2019,Hero,1776,455,329,260,249,245,541,859,459,616,648.0,1428.0,7865,29%
1,2019,Okinawa,984,880,731,862,882,940,1036,1436,782,734,679.0,598.0,10544,39%
2,2019,Ather,28,107,464,300,183,96,140,358,282,284,369.0,294.0,2905,11%
3,2019,Ampere,0,103,107,35,57,155,176,135,434,867,296.0,153.0,2518,9%
4,2019,Revolt,0,0,0,0,0,0,89,189,202,314,155.0,114.0,1063,4%
5,2019,Others,291,123,127,111,136,122,154,170,76,127,206.0,296.0,1939,7%
6,2020,Hero,39,200,530,421,581,1102,355,1219,1701,1788,2308.0,5712.0,15956,36%
7,2020,Okinawa,37,90,358,411,416,584,558,664,626,746,1092.0,1547.0,7129,16%
8,2020,Ampere,4,44,155,204,252,317,786,655,942,954,825.0,957.0,6095,14%
9,2020,Ather,0,143,157,144,243,265,258,360,535,606,626.0,1064.0,4401,10%
10,2020,Revolt,0,0,102,125,274,89,215,459,251,155,70.0,53.0,1793,4%
11,2020,Bajaj,0,28,67,32,96,231,222,253,184,100,111.0,146.0,1470,3%
12,2020,Pure,0,8,4,24,79,104,163,168,171,272,408.0,679.0,2080,5%
13,2020,Being,0,23,33,41,54,102,74,91,124,176,262.0,171.0,1151,3%
14,2020,Jitendra,0,1,7,15,13,76,121,56,88,37,124.0,101.0,639,1%
15,2020,Tvs,0,19,28,26,22,25,26,26,42,149,208.0,267.0,838,2%
16,2020,Others,5,2,70,45,85,194,175,237,284,336,545.0,1273.0,3251,7%
17,2021,Hero,759,170,1437,4572,5575,6652,6687,7457,6407,8153,7804.0,13562.0,69235,27%
18,2021,Okinawa,1198,318,984,2634,2895,3322,4167,5544,6413,5739,6124.0,8588.0,47926,19%
19,2021,Ampere,751,147,299,663,810,807,1083,2078,3411,4367,4432.0,6668.0,25516,10%
20,2021,Ather,903,160,320,1799,1613,2175,2648,2203,1813,1881,2233.0,2233.0,19981,8%
21,2021,Pure,581,122,460,1417,1094,1337,1400,1688,1685,1691,1428.0,2066.0,14969,6%
22,2021,Ola,0,0,0,0,0,0,0,0,240,1107,3912.0,9146.0,14405,6%
23,2021,Tvs,302,9,208,648,651,688,486,522,1119,1155,1560.0,2392.0,9740,4%
24,2021,Revolt,138,42,59,321,853,499,900,780,835,673,1128.0,1413.0,7641,3%
25,2021,Bajaj,48,20,176,730,796,381,754,728,642,612,1372.0,855.0,7114,3%
26,2021,Being,171,54,198,494,325,337,469,912,1190,1062,1149.0,1013.0,7374,3%
27,2021,Jitendra,36,13,43,212,208,134,283,273,503,535,583.0,1052.0,3875,2%
28,2021,Others,749,260,567,1202,1279,1627,1827,2318,2604,3066,4034.0,5332.0,24865,10%
29,2022,Ola,12709,9268,5898,3865,3476,9898,16357,16385,17371,18353,17772.0,21427.0,152779,21%
30,2022,Okinawa,11343,9650,7221,8396,8758,8499,14953,9070,5282,4408,3849.0,4510.0,95939,13%
31,2022,Hero,6804,2971,6837,9306,10820,8210,8870,9028,8102,6400,5864.0,6662.0,89874,12%
32,2022,Ampere,6865,6177,6920,6813,6772,6489,10115,12449,4593,4457,6004.0,9738.0,87392,12%
33,2022,Tvs,1498,478,1983,4349,6427,4002,5821,8149,9365,10464,12674.0,16899.0,82109,11%
34,2022,Ather,2452,3338,3830,1289,5377,6281,7358,7839,7695,9226,10071.0,12183.0,76939,11%
35,2022,Bajaj,1223,1812,1824,2483,2621,3650,3550,3058,3241,2252,2538.0,4553.0,32805,5%
36,2022,Okaya,0,19,760,1076,905,954,1968,1783,1448,1265,1232.0,1765.0,13175,2%
37,2022,Revolt,1241,1586,2424,2319,1662,865,1041,524,37,14,79.0,1140.0,12932,2%
38,2022,Pure,1756,1464,1125,1000,880,790,1047,925,780,717,488.0,584.0,11556,2%
39,2022,Being,874,862,1005,1245,1099,975,1422,1216,966,571,337.0,446.0,11018,2%
40,2022,Jitendra,940,646,568,880,653,661,1111,1256,668,522,308.0,350.0,8563,1%
41,2022,Others,4684,3456,3659,3563,3679,3850,4623,5694,5558,4242,4875.0,5090.0,52973,7%
42,2023,Ola,22068,28741,17688,19403,18744,18704,23854,29972,30354,32308,0.0,0.0,241836,33%
43,2023,Tvs,8760,20435,7867,10398,15484,15612,16502,19140,12312,15291,0.0,0.0,141801,20%
44,2023,Ather,7802,15430,4603,6685,7151,7191,8470,9326,6546,9323,0.0,0.0,82527,11%
45,2023,Bajaj,4093,10099,3011,4130,6588,7105,9069,11912,10413,10866,0.0,0.0,77286,11%
46,2023,Ampere,8875,10790,3043,3573,3699,4199,4542,4695,3349,2536,0.0,0.0,49301,7%
47,2023,Okinawa,3218,2908,2620,2265,2001,1791,1475,1606,965,683,0.0,0.0,19532,3%
48,2023,Hero,3333,2110,1137,779,783,845,666,824,552,418,0.0,0.0,11447,2%
49,2023,Okaya,1563,3878,424,784,1151,884,874,1298,709,581,0.0,0.0,12146,2%
50,2023,Bgauss,771,1814,191,661,923,935,1171,1607,1216,1487,0.0,0.0,10776,1%
51,2023,Battre,652,1199,83,135,291,258,230,667,244,288,0.0,0.0,4047,1%
52,2023,Kinetic,848,897,203,232,385,234,394,427,668,820,0.0,0.0,5108,1%
53,2023,Revolt,526,572,714,484,514,889,688,671,681,530,0.0,0.0,6269,1%
54,2023,Others,4368,6708,4521,5082,5051,5421,7178,9828,7783,6120,0.0,0.0,62060,9%
