,Year,Maker,Total,MarketShare,Month,Sales
0,2019,Hero,7865,29%,Apr,1776.0
1,2019,Okinawa,10544,39%,Apr,984.0
2,2019,Ather,2905,11%,Apr,28.0
3,2019,Ampere,2518,9%,Apr,0.0
4,2019,Revolt,1063,4%,Apr,0.0
5,2019,Others,1939,7%,Apr,291.0
6,2020,Hero,15956,36%,Apr,39.0
7,2020,Okinawa,7129,16%,Apr,37.0
8,2020,Ampere,6095,14%,Apr,4.0
9,2020,Ather,4401,10%,Apr,0.0
10,2020,Revolt,1793,4%,Apr,0.0
11,2020,Bajaj,1470,3%,Apr,0.0
12,2020,Pure,2080,5%,Apr,0.0
13,2020,Being,1151,3%,Apr,0.0
14,2020,Jitendra,639,1%,Apr,0.0
15,2020,Tvs,838,2%,Apr,0.0
16,2020,Others,3251,7%,Apr,5.0
17,2021,Hero,69235,27%,Apr,759.0
18,2021,Okinawa,47926,19%,Apr,1198.0
19,2021,Ampere,25516,10%,Apr,751.0
20,2021,Ather,19981,8%,Apr,903.0
21,2021,Pure,14969,6%,Apr,581.0
22,2021,Ola,14405,6%,Apr,0.0
23,2021,Tvs,9740,4%,Apr,302.0
24,2021,Revolt,7641,3%,Apr,138.0
25,2021,Bajaj,7114,3%,Apr,48.0
26,2021,Being,7374,3%,Apr,171.0
27,2021,Jitendra,3875,2%,Apr,36.0
28,2021,Others,24865,10%,Apr,749.0
29,2022,Ola,152779,21%,Apr,12709.0
30,2022,Okinawa,95939,13%,Apr,11343.0
31,2022,Hero,89874,12%,Apr,6804.0
32,2022,Ampere,87392,12%,Apr,6865.0
33,2022,Tvs,82109,11%,Apr,1498.0
34,2022,Ather,76939,11%,Apr,2452.0
35,2022,Bajaj,32805,5%,Apr,1223.0
36,2022,Okaya,13175,2%,Apr,0.0
37,2022,Revolt,12932,2%,Apr,1241.0
38,2022,Pure,11556,2%,Apr,1756.0
39,2022,Being,11018,2%,Apr,874.0
40,2022,Jitendra,8563,1%,Apr,940.0
41,2022,Others,52973,7%,Apr,4684.0
42,2023,Ola,241836,33%,Apr,22068.0
43,2023,Tvs,141801,20%,Apr,8760.0
44,2023,Ather,82527,11%,Apr,7802.0
45,2023,Bajaj,77286,11%,Apr,4093.0
46,2023,Ampere,49301,7%,Apr,8875.0
47,2023,Okinawa,19532,3%,Apr,3218.0
48,2023,Hero,11447,2%,Apr,3333.0
49,2023,Okaya,12146,2%,Apr,1563.0
50,2023,Bgauss,10776,1%,Apr,771.0
51,2023,Battre,4047,1%,Apr,652.0
52,2023,Kinetic,5108,1%,Apr,848.0
53,2023,Revolt,6269,1%,Apr,526.0
54,2023,Others,62060,9%,Apr,4368.0
55,2019,Hero,7865,29%,May,455.0
56,2019,Okinawa,10544,39%,May,880.0
57,2019,Ather,2905,11%,May,107.0
58,2019,Ampere,2518,9%,May,103.0
59,2019,Revolt,1063,4%,May,0.0
60,2019,Others,1939,7%,May,123.0
61,2020,Hero,15956,36%,May,200.0
62,2020,Okinawa,7129,16%,May,90.0
63,2020,Ampere,6095,14%,May,44.0
64,2020,Ather,4401,10%,May,143.0
65,2020,Revolt,1793,4%,May,0.0
66,2020,Bajaj,1470,3%,May,28.0
67,2020,Pure,2080,5%,May,8.0
68,2020,Being,1151,3%,May,23.0
69,2020,Jitendra,639,1%,May,1.0
70,2020,Tvs,838,2%,May,19.0
71,2020,Others,3251,7%,May,2.0
72,2021,Hero,69235,27%,May,170.0
73,2021,Okinawa,47926,19%,May,318.0
74,2021,Ampere,25516,10%,May,147.0
75,2021,Ather,19981,8%,May,160.0
76,2021,Pure,14969,6%,May,122.0
77,2021,Ola,14405,6%,May,0.0
78,2021,Tvs,9740,4%,May,9.0
79,2021,Revolt,7641,3%,May,42.0
80,2021,Bajaj,7114,3%,May,20.0
81,2021,Being,7374,3%,May,54.0
82,2021,Jitendra,3875,2%,May,13.0
83,2021,Others,24865,10%,May,260.0
84,2022,Ola,152779,21%,May,9268.0
85,2022,Okinawa,95939,13%,May,9650.0
86,2022,Hero,89874,12%,May,2971.0
87,2022,Ampere,87392,12%,May,6177.0
88,2022,Tvs,82109,11%,May,478.0
89,2022,Ather,76939,11%,May,3338.0
90,2022,Bajaj,32805,5%,May,1812.0
91,2022,Okaya,13175,2%,May,19.0
92,2022,Revolt,12932,2%,May,1586.0
93,2022,Pure,11556,2%,May,1464.0
94,2022,Being,11018,2%,May,862.0
95,2022,Jitendra,8563,1%,May,646.0
96,2022,Others,52973,7%,May,3456.0
97,2023,Ola,241836,33%,May,28741.0
98,2023,Tvs,141801,20%,May,20435.0
99,2023,Ather,82527,11%,May,15430.0
100,2023,Bajaj,77286,11%,May,10099.0
101,2023,Ampere,49301,7%,May,10790.0
102,2023,Okinawa,19532,3%,May,2908.0
103,2023,Hero,11447,2%,May,2110.0
104,2023,Okaya,12146,2%,May,3878.0
105,2023,Bgauss,10776,1%,May,1814.0
106,2023,Battre,4047,1%,May,1199.0
107,2023,Kinetic,5108,1%,May,897.0
108,2023,Revolt,6269,1%,May,572.0
109,2023,Others,62060,9%,May,6708.0
110,2019,Hero,7865,29%,Jun,329.0
111,2019,Okinawa,10544,39%,Jun,731.0
112,2019,Ather,2905,11%,Jun,464.0
113,2019,Ampere,2518,9%,Jun,107.0
114,2019,Revolt,1063,4%,Jun,0.0
115,2019,Others,1939,7%,Jun,127.0
116,2020,Hero,15956,36%,Jun,530.0
117,2020,Okinawa,7129,16%,Jun,358.0
118,2020,Ampere,6095,14%,Jun,155.0
119,2020,Ather,4401,10%,Jun,157.0
120,2020,Revolt,1793,4%,Jun,102.0
121,2020,Bajaj,1470,3%,Jun,67.0
122,2020,Pure,2080,5%,Jun,4.0
123,2020,Being,1151,3%,Jun,33.0
124,2020,Jitendra,639,1%,Jun,7.0
125,2020,Tvs,838,2%,Jun,28.0
126,2020,Others,3251,7%,Jun,70.0
127,2021,Hero,69235,27%,Jun,1437.0
128,2021,Okinawa,47926,19%,Jun,984.0
129,2021,Ampere,25516,10%,Jun,299.0
130,2021,Ather,19981,8%,Jun,320.0
131,2021,Pure,14969,6%,Jun,460.0
132,2021,Ola,14405,6%,Jun,0.0
133,2021,Tvs,9740,4%,Jun,208.0
134,2021,Revolt,7641,3%,Jun,59.0
135,2021,Bajaj,7114,3%,Jun,176.0
136,2021,Being,7374,3%,Jun,198.0
137,2021,Jitendra,3875,2%,Jun,43.0
138,2021,Others,24865,10%,Jun,567.0
139,2022,Ola,152779,21%,Jun,5898.0
140,2022,Okinawa,95939,13%,Jun,7221.0
141,2022,Hero,89874,12%,Jun,6837.0
142,2022,Ampere,87392,12%,Jun,6920.0
143,2022,Tvs,82109,11%,Jun,1983.0
144,2022,Ather,76939,11%,Jun,3830.0
145,2022,Bajaj,32805,5%,Jun,1824.0
146,2022,Okaya,13175,2%,Jun,760.0
147,2022,Revolt,12932,2%,Jun,2424.0
