,Year,Month,Sales,year,month,Polarity,Positive_score
0,2019,Aug,1507.0,2019,Aug,1.7335858585858583,1.668
1,2019,Jul,1568.0,2019,Jul,0.0,0.0
2,2019,Oct,2136.0,2019,Oct,-0.15,0.872
3,2020,Apr,85.0,2020,Apr,0.5681818181818181,0.65
4,2020,Aug,2115.0,2020,Aug,0.4,0.567
5,2020,Dec,4948.0,2020,Dec,0.010119047619047528,1.517
6,2020,Jan,5319.0,2020,Jan,0.0,0.145
7,2020,Jul,1488.0,2020,Jul,1.1104437229437227,2.552
8,2020,Jun,1511.0,2020,Jun,0.3476190476190475,0.891
9,2020,Mar,11970.0,2020,Mar,-0.28459595959595957,0.999
10,2020,May,558.0,2020,May,2.058333333333333,1.151
11,2020,Nov,4188.0,2020,Nov,0.7547619047619047,1.2610000000000001
12,2020,Oct,2953.0,2020,Oct,3.435876623376623,2.685
13,2021,Apr,5636.0,2021,Apr,0.1363636363636363,1.377
14,2021,Aug,16099.0,2021,Aug,0.25,0.347
15,2021,Dec,26862.0,2021,Dec,0.0,0.0
16,2021,Feb,35759.0,2021,Feb,0.575,2.906
17,2021,Jan,30041.0,2021,Jan,1.3314285714285714,1.5870000000000002
18,2021,Jul,14692.0,2021,Jul,0.2045454545454544,0.68
19,2021,Jun,4751.0,2021,Jun,0.8863636363636362,0.504
20,2021,Mar,54320.0,2021,Mar,0.42575757575757556,0.922
21,2021,May,1315.0,2021,May,-0.1,0.41300000000000003
22,2021,Nov,24503.0,2021,Nov,0.55,0.46699999999999997
23,2021,Oct,20704.0,2021,Oct,0.3892857142857142,0.595
24,2022,Apr,52389.0,2022,Apr,0.725,0.491
25,2022,Aug,53129.0,2022,Aug,0.0,0.36
26,2022,Dec,65106.0,2022,Dec,1.2824675324675323,2.483
27,2022,Feb,66091.0,2022,Feb,0.1363636363636363,1.123
28,2022,Jan,62891.0,2022,Jan,0.6,0.385
29,2022,Jul,46584.0,2022,Jul,0.7117063492063492,0.98
30,2022,Jun,44054.0,2022,Jun,0.1363636363636363,0.986
31,2022,Mar,85347.0,2022,Mar,0.4363636363636363,0.614
32,2022,May,41727.0,2022,May,1.3166666666666667,0.8999999999999999
33,2022,Nov,77376.0,2022,Nov,2.0577272727272726,4.009
34,2022,Oct,78236.0,2022,Oct,4.248484848484848,2.086
35,2023,Apr,66877.0,2023,Apr,0.0,0.0
36,2023,Aug,62765.0,2023,Aug,3.1641287878787874,3.458
37,2023,Dec,75792.0,2023,Dec,1.7518398268398268,2.57
38,2023,Feb,0.0,2023,Feb,-0.1,0.137
39,2023,Jan,81251.0,2023,Jan,0.55,0.41100000000000003
40,2023,Jul,54611.0,2023,Jul,4.46794733044733,3.917
41,2023,Jun,46105.0,2023,Jun,3.5590259740259738,4.635
42,2023,Mar,0.0,2023,Mar,1.2773809523809523,1.036
43,2023,May,105581.0,2023,May,6.243939393939394,4.376
44,2023,Nov,91973.0,2023,Nov,3.221482683982684,4.196
45,2023,Oct,75113.0,2023,Oct,1.037121212121212,3.344
