,title,month,year,Polarity,Subjectivity
0,EV Charging Platform Kazam Raises $8 million Capital in Funding Round,Aug,2024,-0.2,0.4
1,EV Manufacturer Kinetic Green Raises $25 Million from GPC,Aug,2024,-0.2,0.3
2,Amazon Partners with Gentari to Expand Electric Vehicle Fleet in India,Aug,2024,0.0,0.0
3,SES AI’s 100 Ah Li-Metal Is First to Successfully Pass the Global Electric Vehicle EV Safety Standard Test GB38031-2020,Aug,2024,0.25,0.3208333333333333
4,Mahindra & Mahindra to Spruce up Electric 3W Play to Take on Bajaj,Aug,2024,0.0,0.0
5,Ola Electric Shares hit 20% Upper Circuit After Listing at Par with IPO price,Aug,2024,0.0,0.0
6,Odysse Electric and SUN Mobility ignite global E-mobility Revolution with Strategic Partnership,Aug,2024,0.0,0.0
7,JSW MG Motor India Launches Multiple EV-based Initiatives,Aug,2024,0.0,0.0
8,Leading NBFC Muthoot Capital Bags Rs.100 Crore Impact Funding for Electric Vehicle Portfolio,Aug,2024,0.0,0.0
9,"Electric Motor Parts Maker EuroGroup Laminations Enters India, signs JV in China",Aug,2024,0.0,0.0
10,River Mobility Plans to Scale up ops; aims to Open 100 Stores by March,Aug,2024,0.0,0.5
11,Schemes for Accelerating the Adoption of EV,Aug,2024,0.0,0.0
12,Godawari Electric Launches New Eblu Feo X,Aug,2024,0.13636363636363635,0.45454545454545453
13,"EV Sales in India Jump 53% in July to 179,000 Units, EMPS revs up 2- and 3-wheeler Demand",Aug,2024,0.0,0.0
14,Lectrix EV and Electric One Join Hands to Expand Market Reach and Reliability in Indian EV Market,Aug,2024,0.0,0.0
15,"Battery Maker Amara Raja, EV firm Ather Energy ink MoU for Advanced Chemistry Cells",Aug,2024,0.1,0.5
16,"India, US Join Hands to Launch 10,000 Electric Buses on Indian Streets",Jul,2024,0.0,0.0
17,EV Charging Aggregator ElectricPe Raises $3 million from Green Frontier Capital,Jul,2024,-0.2,0.3
18,Servotech Power Systems Bags Rs 20 Crore Order For 400 EV Chargers From BPCL,Jul,2024,0.0,0.0
19,MediaTek and JioThings to Launch ‘Made in India’ Smart Module and Digital Cluster for Two-wheelers,Jul,2024,0.10714285714285714,0.32142857142857145
20,Ola Electric to Raise $734 million in India’s biggest IPO this year,Jul,2024,0.0,0.0
21,Google and ElectricPe Collaborate to Map EV Charging Stations in India,Jul,2024,0.0,0.0
22,Haryana Government Holds Conference to Accelerate EV Adoption,Jul,2024,0.0,0.0
23,MINI Launches New MINI Cooper S & All-Electric MINI Countryman In India,Jul,2024,0.13636363636363635,0.45454545454545453
24,Nissan Ariya EV Headed to India,Jul,2024,0.0,0.0
25,Servotech Power Systems’ Incharz Partners with Prateek Group to Develop EV Charging Stations in Delhi-NCR Region,Jul,2024,0.0,0.0
26,Citroen India Secures Largest eC3 Order Till Date From Refex Green Mobility,Jul,2024,-0.2,0.3
27,Kinetic Green CEO Urges govt for Continued Support to Achieve EV Penetration of 30% by 2030,Jul,2024,-0.2,0.3
28,"Greaves Electric Mobility Unveils Eltra City E3W At INR 3,67 Lakh",Jul,2024,0.0,0.0
29,"Despite poor infra, electric vehicle sales on the rise",Jul,2024,-0.4,0.6
30,EV Financing Startup Perpetuity Capital Raises Rs 7 crore through NCDs,Jul,2024,0.0,0.0
31,"Statiq and BPCL Team up to Power 2,800 New EV Chargers Across India",Jul,2024,0.13636363636363635,0.45454545454545453
32,BYD India Partners with ASDC To Launch EV Innovate-A-Thon,Jul,2024,0.0,0.0
33,Daewoo India Launches Two-wheeler Battery With Korean Technology,Jul,2024,0.0,0.0
34,E-Fill Electric Proposes Key Actions for Union Budget to Boost EV Adoption,Jul,2024,0.0,1.0
35,Vidyut Launches in-house Used EV Sale and Financing Platform to Boost Convenience for Customers,Jul,2024,0.0,0.0
36,JSW MG Motor Joins Hands With Shell for EV Charging Infra,Jul,2024,0.0,0.0
37,India Looks At A Electric Tractor Boom With Rise Of Manufacturers,Jul,2024,0.0,0.0
38,Wagoora Youth Opens Showroom-cum-workshop for AMPERE Electric Two-wheelers in Pampore,Jul,2024,0.0,0.0
39,Oben Electric’s Nationwide Expansion Reaches Pune,Jul,2024,0.0,0.0
40,Charge Zone Plans to Invest USD 360 Million for EV Charging Network,Jul,2024,0.0,0.0
41,Lectrix EV Partners With Flipkart To Launch Affordable LXS 2.0 Scooter,Jul,2024,0.0,0.0
42,Xiaomi’s Newly-unveiled SU7 EV Quietly Brought to India,Jul,2024,0.0,0.3333333333333333
